Foot Length, Foot Width
0.19264841261210666,0.7518997175621858
0.1618705035971223,0.6384892086330936
0.19235218479231056,0.7507763143086034
0.1915635876461571,0.7478633717345843
0.15599639314697927,0.5951307484220018
0.18438053295353643,0.7201411219818348
0.19669904729743207,0.7679863180597527
0.19604786237195584,0.7657389976036009
0.1873933103059086,0.7317894070216604
0.19478309681465053,0.7606483415761891
0.18404758039530647,0.7183788617047674
0.15445719329214475,0.6266548984995587
0.17491513560151414,0.6826818178251428
0.18890427346136576,0.7377225550096126
0.16034985422740525,0.6122448979591837
0.15043478260869564,0.6434782608695652
0.18426447366024298,0.7192688660595301
0.15943312666076173,0.6288751107174491
0.16137339055793992,0.6094420600858369
0.14708691499522444,0.6399235912129895
0.16109154929577466,0.5985915492957746
0.15739948674080412,0.6244653550042771
0.1822721186716333,0.7113966436831396
0.14778761061946902,0.5752212389380531
0.160603371783496,0.6654835847382431
0.1915622600173665,0.7480991518088634
0.1953701568427804,0.7627336825464401
0.18546741973672393,0.7240366020705573
0.15187713310580206,0.5972696245733788
0.1825592729166414,0.7126133670493838
0.17184205335879685,0.6710624494895091
0.15409309791332262,0.6260032102728732
0.19661967109094294,0.7676195477231912
0.1627469426152399,0.6302916274694261
0.16142384105960264,0.6539735099337749
0.18983271169041296,0.741066692196797
0.15721649484536082,0.6185567010309279
0.1544502617801047,0.6195462478184992
0.1483375959079284,0.5029838022165388
0.1481810115350488,0.5767524401064773
0.16072908036454017,0.6462303231151616
0.1954784242485315,0.7631078185460729
0.15638207945900254,0.5748098055790364
0.1593959731543624,0.6124161073825504
0.18437861646732626,0.7201322665536982
0.14920368818105617,0.5783738474434199
0.16257947320617622,0.6085376930063578
0.1900191377527745,0.742047059141722
0.1594571670907549,0.5767599660729431
0.15613026819923373,0.5747126436781609
0.15486725663716813,0.5752212389380531
0.15742397137745975,0.6082289803220036
0.1832165494271855,0.7154296235732437
0.16536661466458658,0.592823712948518
0.19099390787997708,0.7454729907218449
0.19490594128459246,0.7609657344414228
0.19883365322152016,0.7763013304673498
0.1623931623931624,0.6752136752136753
0.18835145837226774,0.7355195013450719
0.15071972904318373,0.6011854360711262
0.18968554287560732,0.7407429199414739
0.15378006872852235,0.6357388316151202
0.1528127623845508,0.6129303106633082
0.18903792516134407,0.7379869616859452
0.17861407691247325,0.6972935344582436
0.15928449744463374,0.6899488926746167
0.16018099547511314,0.5972850678733032
0.17889699128833333,0.698600785150135
0.16260162601626016,0.5934959349593496
0.17966771533931483,0.701313513426058
0.1482456140350877,0.5877192982456141
0.1545138888888889,0.6510416666666666
0.16666666666666666,0.6013745704467354
0.15201314708299096,0.6244864420706655
0.1947767887648284,0.7602435127931716
0.20178135514828532,0.7878035714667649
0.1833195161230683,0.715905397503167
